Step,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
10,1.0345,1.021363,0.478346,0.31848,0.490683,0.478346
20,0.9769,0.982,0.476378,0.307423,0.226936,0.476378
30,0.9313,0.957309,0.476378,0.307423,0.226936,0.476378
40,0.9763,0.926279,0.476378,0.307423,0.226936,0.476378
50,0.9197,0.880613,0.685039,0.652851,0.636038,0.685039
60,0.9635,0.832697,0.730315,0.69775,0.673726,0.730315
70,0.802,0.778168,0.757874,0.723277,0.7128,0.757874
80,0.7219,0.656811,0.84252,0.805086,0.771149,0.84252
90,0.7074,0.585755,0.850394,0.813356,0.781026,0.850394
100,0.5542,0.532163,0.848425,0.811021,0.776816,0.848425
110,0.4047,0.467624,0.854331,0.817634,0.78786,0.854331
120,0.4853,0.425478,0.872047,0.834101,0.8006,0.872047
130,0.4367,0.398771,0.856299,0.818359,0.78367,0.856299
140,0.41,0.404418,0.864173,0.827993,0.80161,0.864173
150,0.3354,0.37051,0.870079,0.831937,0.79726,0.870079
160,0.3146,0.361092,0.864173,0.82601,0.791078,0.864173
170,0.3693,0.393022,0.866142,0.827541,0.792555,0.866142
180,0.2556,0.362495,0.852362,0.816888,0.792351,0.852362
190,0.3147,0.352191,0.86811,0.83197,0.806072,0.86811
200,0.336,0.3222,0.88189,0.843338,0.808279,0.88189
210,0.3645,0.339801,0.870079,0.834024,0.809585,0.870079
220,0.2998,0.358538,0.870079,0.831604,0.796389,0.870079
230,0.4536,0.355517,0.864173,0.828471,0.805782,0.864173
240,0.2567,0.307195,0.883858,0.847751,0.819778,0.883858
250,0.2569,0.291589,0.889764,0.867001,0.868143,0.889764
